"","AIRPORT_SEQ_ID","AIRPORT_ID","LATITUDE","LONGITUDE","Airport","CityName","Timezone","IANA_Timezone"
"1",1014106,10141,45.44666667,-98.4225,"ABR","Aberdeen","CST","America/Chicago"
"2",1013603,10136,32.41138889,-99.68194444,"ABI","Abilene","CST","America/Chicago"
"3",1016506,10165,51.88361111,-176.6425,"ADK","Adak Island","HAST","Pacific/Honolulu"
"4",1073203,10732,18.49472222,-67.12944444,"BQN","Aguadilla","AST","America/Puerto_Rico"
"5",1087402,10874,40.915,-81.44361111,"CAK","Akron","EST","America/New_York"
"6",1027205,10272,37.435,-105.86777778,"ALS","Alamosa","MST","America/Denver"
"7",1014602,10146,31.53555556,-84.19444444,"ABY","Albany","EST","America/New_York"
"8",1025702,10257,42.74916667,-73.80194444,"ALB","Albany","EST","America/New_York"
"9",1014005,10140,35.03888889,-106.60833333,"ABQ","Albuquerque","MST","America/Denver"
"10",1018502,10185,31.3275,-92.54861111,"AEX","Alexandria","CST","America/Chicago"
"11",1013505,10135,40.65222222,-75.44055556,"ABE","Allentown","EST","America/New_York"
"12",1033302,10333,45.07805556,-83.56027778,"APN","Alpena","EST","America/New_York"
"13",1027903,10279,35.21944444,-101.70583333,"AMA","Amarillo","CST","America/Chicago"
"14",1029906,10299,61.17416667,-149.99805556,"ANC","Anchorage","AKST","America/Anchorage"
"15",1040805,10408,44.25805556,-88.51916667,"ATW","Appleton","CST","America/Chicago"
"16",1015706,10157,40.97777778,-124.10833333,"ACV","Arcata","PST","America/Los_Angeles"
"17",1043105,10431,35.43444444,-82.54277778,"AVL","Asheville","EST","America/New_York"
"18",1222305,12223,38.36861111,-82.56027778,"HTS","Ashland","EST","America/New_York"
"19",1037205,10372,39.22194444,-106.86833333,"ASE","Aspen","MST","America/Denver"
"20",1039707,10397,33.63666667,-84.42777778,"ATL","Atlanta","EST","America/New_York"
"21",1015804,10158,39.4575,-74.57722222,"ACY","Atlantic City","EST","America/New_York"
"22",1020803,10208,33.37,-81.96444444,"AGS","Augusta","EST","America/New_York"
"23",1042302,10423,30.19444444,-97.67,"AUS","Austin","CST","America/Chicago"
"24",1056103,10561,35.43388889,-119.05777778,"BFL","Bakersfield","PST","America/Los_Angeles"
"25",1082106,10821,39.17583333,-76.66888889,"BWI","Baltimore","EST","America/New_York"
"26",1058102,10581,44.8075,-68.82805556,"BGR","Bangor","EST","America/New_York"
"27",1075405,10754,71.28472222,-156.76861111,"BRW","Barrow","AKST","America/Anchorage"
"28",1078105,10781,30.53305556,-91.15,"BTR","Baton Rouge","CST","America/Chicago"
"29",1318403,13184,43.53305556,-84.07972222,"MBS","Bay City","EST","America/New_York"
"30",1161708,11617,35.07277778,-77.04305556,"EWN","Beaufort","EST","America/New_York"
"31",1072804,10728,29.95083333,-94.02055556,"BPT","Beaumont","CST","America/Chicago"
"32",1067602,10676,38.54527778,-89.83527778,"BLV","Belleville","CST","America/Chicago"
"33",1066602,10666,48.79277778,-122.5375,"BLI","Bellingham","PST","America/Los_Angeles"
"34",1063104,10631,47.51083333,-94.93472222,"BJI","Bemidji","CST","America/Chicago"
"35",1448902,14489,44.25416667,-121.15,"RDM","Bend","EST","America/New_York"
"36",1055102,10551,60.77861111,-161.83722222,"BET","Bethel","AKST","America/Anchorage"
"37",1013505,10135,40.65222222,-75.44055556,"ABE","Bethlehem","EST","America/New_York"
"38",1062003,10620,45.80777778,-108.54361111,"BIL","Billings","MST","America/Denver"
"39",1197302,11973,30.40722222,-89.07,"GPT","Biloxi","CST","America/Chicago"
"40",1057705,10577,42.20833333,-75.97972222,"BGM","Binghamton","EST","America/New_York"
"41",1059904,10599,33.56388889,-86.75222222,"BHM","Birmingham","CST","America/Chicago"
"42",1062702,10627,46.77277778,-100.74583333,"BIS","Bismarck","CST","America/Chicago"
"43",1068502,10685,40.47722222,-88.91583333,"BMI","Bloomington","CST","America/Chicago"
"44",1071302,10713,43.56444444,-116.22277778,"BOI","Boise","MST","America/Denver"
"45",1072102,10721,42.36305556,-71.00638889,"BOS","Boston","EST","America/New_York"
"46",1084905,10849,45.77722222,-111.15027778,"BZN","Bozeman","MST","America/Denver"
"47",1498603,14986,27.39555556,-82.55444444,"SRQ","Bradenton","EST","America/New_York"
"48",1073907,10739,46.40416667,-94.13361111,"BRD","Brainerd","CST","America/Chicago"
"49",1064301,10643,36.53194444,-93.20055556,"BKG","Branson","CST","America/Chicago"
"50",1532305,15323,36.47527778,-82.4075,"TRI","Bristol","EST","America/New_York"
"51",1074705,10747,25.91083333,-97.42888889,"BRO","Brownsville","CST","America/Chicago"
