Origin,Dest,AverageActualElapsedTime
ABE,ATL,130.65692175408427
ABE,BNA,150.77064220183487
ABE,CLT,129.9182389937107
ABE,DEN,154.57692307692307
ABE,DTW,126.5876993166287
ABE,FLL,131.359375
ABE,IAD,137.63194444444446
ABE,MLB,179.4090909090909
ABE,MYR,120.42622950819673
ABE,ORD,141.0136518771331
ABE,PGD,146.0985401459854
ABE,PHL,128.99019607843138
ABE,PIE,148.1423487544484
ABE,SAV,137.5
ABE,SFB,141.06
ABE,SRQ,142.76190476190476
ABI,DFW,120.73786828422877
ABI,IAH,141.74324324324326
ABQ,ATL,136.86336464560205
ABQ,AUS,137.9176072234763
ABQ,BUR,136.14814814814815
ABQ,BWI,148.40848806366049
ABQ,DAL,135.19340390879478
ABQ,DEN,135.55075715086932
ABQ,DFW,132.79897403013786
ABQ,HOU,138.33846153846153
ABQ,IAH,138.0024360535932
ABQ,JFK,226.31791907514452
ABQ,LAS,131.70833333333334
ABQ,LAX,135.8736842105263
ABQ,LGB,130.13924050632912
ABQ,MCI,131.109375
ABQ,MCO,205.53333333333333
ABQ,MDW,138.44832402234636
ABQ,MSP,152.54545454545453
ABQ,OAK,140.2330827067669
ABQ,ORD,139.58356417359187
ABQ,PDX,133.09911894273128
ABQ,PHX,130.59745958429562
ABQ,SAN,138.98674698795182
ABQ,SAT,140.8181818181818
ABQ,SEA,141.19965277777777
ABQ,SFO,138.93187066974596
ABQ,SJC,158.79518072289156
ABQ,SLC,133.12042581503658
ABQ,SNA,135.88732394366198
ABR,MSP,124.9396551724138
ABY,ATL,134.6311535635562
ACK,JFK,120.83333333333333
ACT,DFW,124.41680486456606
ACV,DEN,133.23824451410658
ACV,LAX,136.71018276762402
ACV,PHX,126.23008849557522
ACV,SFO,129.87994448299793
ACY,ATL,181.2
ACY,FLL,133.25531914893617
ACY,MCO,134.84041548630785
ACY,MIA,140.21052631578948
ACY,MSY,118.0
ACY,MYR,140.10569105691056
ACY,PBI,135.22727272727272
ACY,RSW,137.16511318242343
ACY,SJU,142.91666666666666
ACY,TPA,141.32621359223302
ADK,ANC,154.38938053097345
ADK,CDB,131.3913043478261
ADQ,ANC,138.02194787379972
AEX,ATL,134.5385704175513
AEX,CLT,139.06024096385542
AEX,DFW,121.57292393579903
AEX,IAH,139.01
AGS,ATL,128.2448484848485
AGS,CLT,122.70727784479293
AGS,DCA,133.65
AGS,DFW,142.63298969072164
AKN,ANC,130.93119266055047
AKN,DLG,115.78481012658227
ALB,ATL,131.58659217877096
ALB,BDL,77.0
ALB,BNA,121.08333333333333
