"","airport","HourlyPrecipitation","HourlyPresentWeatherType","SkyCondition","HourlyWindGustSpeed","PCA_HourlyAltimeterSetting","Visbility_1","Visbility_2"
"1","ABE",0.424968598175139,"NORM","OVC:08",0.868586325394004,-0.421296995180386,0.234579499777334,-0.149482387054682
"2","ABI",0.828125,"NORM","OVC:08",0.975,8.29157693183368,0.711003117492116,-0.0454963975579481
"3","ABQ",0.254921165790731,"NORM","OVC:08",0.879628523650263,4.44155897645534,-1.01194828236261,0.14890762846501
"4","ABR",0.350537055061179,"NORM","OVC:08",0.84375,0.293829663483145,0.503557885281915,0.0167521305885355
"5","ABY",1.06797385620915,"RA","OVC:08",0.94281045751634,2.42625585063195,0.694391178084382,-0.0316007481776344
"6","ACT",1.45575980392157,"RA","OVC:08",0.864583333333333,-1.57430407831149,0.589602750683291,-0.106425134771473
"7","ACV",0.488995258973707,"NORM","OVC:08",0.897335423197492,3.01384079733402,-0.0694976159532849,-0.0650860359220456
"8","ACY",0.497207207207207,"NORM","OVC:08",0.698198198198198,-1.80204859755289,0.145665230366043,-0.072902184807228
"9","ADK",0.3175,"SN","OVC:08",0.35,-17.0480755691496,0.0841858496280868,-0.0529811315073198
"10","ADQ",0.180622009569378,"NORM","OVC:08",0.437799043062201,-26.0205336812345,-0.45778711211255,-0.447321309823447
"11","AEX",0.713991341991342,"NORM","OVC:08",0.778787878787879,2.67153184677851,0.425510907411661,-0.104000228086364
"12","AGS",0.935720220707562,"RA","OVC:08",0.825738396624473,-0.226807430981016,0.52040962028738,0.013312928178938
"13","AKN",0.54375,"SN","OVC:08",0.8125,-9.49546652426379,0.463294244011585,0.00258862497161826
"14","ALB",0.423345529815315,"NORM","OVC:08",0.825908590821788,-2.33828719486072,-0.0772220299995728,0.00158572415207225
"15","ALO",0.08,"NORM","OVC:08",0.7875,-6.56789345230683,0.63771131012302,0.0730598932013687
"16","ALW",0.190062824141409,"NORM","OVC:08",0.890046296296296,3.59007059069233,0.162333754567179,-0.0164442390844997
"17","AMA",1.14383762759144,"NORM","OVC:08",0.916666666666667,5.25579947963114,-0.228608019275092,0.285500219568438
"18","ANC",0.166130755932736,"NORM","OVC:08",0.911001100110011,-9.72110150963984,0.193286746312321,-0.0196833436235017
"19","APN",0.304326923076923,"SN","OVC:08",0.625,-8.74485677490091,0.559987284871236,-0.0133820799344145
"20","ART",0.307777777777778,"NORM","OVC:08",0.562962962962963,-3.3969348711769,-0.0582630140795294,-0.0489465289110567
"21","ASE",0.13017944693138,"NORM","OVC:08",0.911642733949576,-1.58690821304577,-0.227482392828444,0.011645263660395
"22","ATL",0.739473666209707,"RA","OVC:08",0.826621684608794,1.50030644278559,0.439470754296784,0.0471499081324023
"23","ATW",1.412399121619,"NORM","OVC:08",0.919642857142857,-3.28655140562281,0.115998742201072,0.238043905706995
"24","AUS",0.558986994802337,"NORM","OVC:08",0.844199802826158,4.41517726943469,-0.137235103922683,0.0289820534920249
"25","AVL",0.601160378606302,"NORM","OVC:08",0.824616004657203,1.72131102433369,0.216712186514847,-0.123798946945455
"26","AVP",0.518256704980843,"NORM","OVC:08",0.765708812260536,-4.47290781639283,0.093023273233949,-0.196428150152112
"27","AZA",0.906188117438117,"RA","OVC:08",1,3.68041583060502,0.586226162713333,0.139657602524131
"28","AZO",0.199396051103368,"NORM","OVC:08",0.739372822299652,-4.9311622752749,0.626344044841255,0.000766692510125689
"29","BDL",0.605498142076131,"NORM","OVC:08",0.830499108980646,-1.79875484092761,-0.0322198256472068,-0.0126324890743955
"30","BET",0.174184782608696,"SN","OVC:08",0.778532608695652,-9.93021388140519,0.0623486394013244,-0.078922089353269
"31","BFF",0.3078125,"NORM","SCT:04",1,6.77257483100857,-1.55989788296466,0.481726612775012
"32","BFL",0.199837662337662,"NORM","OVC:08",0.982142857142857,3.49435071472703,0.178858866967964,0.206579247452102
"33","BGM",0.731642512077295,"NORM","OVC:08",0.730676328502415,-6.4554295535226,0.332052309746664,0.07387041715348
"34","BGR",0.521785143807992,"NORM","OVC:08",0.688770325203252,-5.79128868188968,-0.0113908386501244,-0.0689757163706298
"35","BHM",0.681400379850539,"NORM","OVC:08",0.822492453152589,2.60658680965836,0.136950352123048,0.0191150863333205
"36","BIH",0.658695652173913,"NORM","FEW:02",1,-7.4695445023234,-0.0784153383706442,-0.0549186446190863
