City,Timezone
"Indianapolis, IN",EST
"New York, NY",EST
"Cincinnati, OH",EST
"Atlanta, GA",EST
"Buffalo, NY",EST
"Tulsa, OK",CST
"Knoxville, TN",EST
"Richmond, VA",EST
"Norfolk, VA",EST
"Kansas City, MO",CST
"Raleigh/Durham, NC",EST
"Rochester, NY",EST
"Des Moines, IA",CST
"Memphis, TN",CST
"St. Louis, MO",CST
"Chattanooga, TN",EST
"Minneapolis, MN",CST
"White Plains, NY",EST
"Baton Rouge, LA",CST
"Columbus, OH",EST
"Detroit, MI",EST
"Washington, DC",EST
"Portland, ME",EST
"Lexington, KY",EST
"Jacksonville, FL",EST
"Charleston, SC",EST
"Fargo, ND",CST
"Worcester, MA",EST
"Bangor, ME",EST
"Providence, RI",EST
"Ithaca/Cortland, NY",EST
"Alexandria, LA",CST
"Charlotte, NC",EST
"Fayetteville, NC",EST
"Dayton, OH",EST
"Cleveland, OH",EST
"Madison, WI",CST
"Augusta, GA",EST
"Nashville, TN",CST
"Pensacola, FL",CST
"Myrtle Beach, SC",EST
"Montgomery, AL",CST
"Omaha, NE",CST
"Grand Rapids, MI",EST
"Charleston/Dunbar, WV",EST
"Columbia, SC",EST
"Duluth, MN",CST
"Tallahassee, FL",EST
"Appleton, WI",CST
"Savannah, GA",EST
"Albany, NY",EST
"Newark, NJ",EST
"Lansing, MI",EST
"Syracuse, NY",EST
"Charlottesville, VA",EST
"Miami, FL",EST
"Little Rock, AR",CST
"Pittsburgh, PA",EST
"Burlington, VT",EST
"Hartford, CT",EST
"Philadelphia, PA",EST
"Dothan, AL",CST
"Key West, FL",EST
"Greensboro/High Point, NC",EST
"Birmingham, AL",CST
"Columbus, MS",CST
"Traverse City, MI",EST
"Wilmington, NC",EST
"Bloomington/Normal, IL",CST
"Mobile, AL",CST
"Monroe, LA",CST
"Rochester, MN",CST
"Moline, IL",CST
"Jacksonville/Camp Lejeune, NC",EST
"Milwaukee, WI",CST
"Fayetteville, AR",CST
"Harrisburg, PA",EST
"Louisville, KY",EST
"Marquette, MI",EST
"Austin, TX",CST
"Wichita, KS",CST
"Mosinee, WI",CST
"Jackson/Vicksburg, MS",CST
"Roanoke, VA",EST
"Bristol/Johnson City/Kingsport, TN",EST
"Lafayette, LA",CST
"Baltimore, MD",EST
"Shreveport, LA",CST
"Greer, SC",EST
"Sioux Falls, SD",CST
"Allentown/Bethlehem/Easton, PA",EST
"Grand Forks, ND",CST
"Green Bay, WI",CST
"Valdosta, GA",EST
"Asheville, NC",EST
"Springfield, MO",CST
"Chicago, IL",CST
"Huntsville, AL",CST
"Fort Lauderdale, FL",EST
"Cedar Rapids/Iowa City, IA",CST
"Kalamazoo, MI",EST
"Binghamton, NY",EST
"Gainesville, FL",EST
"Gulfport/Biloxi, MS",CST
"Boston, MA",EST
"New Orleans, LA",CST
"Fort Myers, FL",EST
"South Bend, IN",EST
"Los Angeles, CA",PST
"Honolulu, HI",HST
"Las Vegas, NV",PST
"Albuquerque, NM",MST
"Dallas/Fort Worth, TX",CST
"San Francisco, CA",PST
"Phoenix, AZ",MST
"Kona, HI",HST
"Scranton/Wilkes-Barre, PA",EST
"San Antonio, TX",CST
"Kahului, HI",HST
"Daytona Beach, FL",EST
"Denver, CO",MST
"San Diego, CA",PST
"Eagle, CO",MST
"West Palm Beach/Palm Beach, FL",EST
"Portland, OR",PST
"San Juan, PR",AST
"Houston, TX",CST
"Orlando, FL",EST
"Ontario, CA",PST
"Lihue, HI",HST
"Charlotte Amalie, VI",AST
"Tampa, FL",EST
"Seattle, WA",PST
"Sacramento, CA",PST
"Lubbock, TX",CST
"Jackson, WY",MST
"Sarasota/Bradenton, FL",EST
"Amarillo, TX",CST
"Spokane, WA",PST
"Santa Ana, CA",PST
"Bozeman, MT",MST
"Salt Lake City, UT",MST
"Palm Springs, CA",PST
"Fresno, CA",PST
"Eugene, OR",PST
"Reno, NV",PST
"Tucson, AZ",MST
"Oklahoma City, OK",CST
"Panama City, FL",CST
"El Paso, TX",MST
"Valparaiso, FL",CST
"Mission/McAllen/Edinburg, TX",CST
"Burbank, CA",PST
"Santa Barbara, CA",PST
"Bakersfield, CA",PST
"San Luis Obispo, CA",PST
"San Jose, CA",PST
"Colorado Springs, CO",MST
"Boise, ID",MST
"Anchorage, AK",AKST
"Gunnison, CO",MST
"Hayden, CO",MST
"Monterey, CA",PST
"Montrose/Delta, CO",MST
"Christiansted, VI",AST
"Missoula, MT",MST
"New Bern/Morehead/Beaufort, NC",EST
"Erie, PA",EST
"Ashland, WV",EST
"Watertown, NY",EST
"Greenville, NC",EST
